"group","condition","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","resp_RR","resp_DET","resp_NRLINE","resp_maxL","resp_L","resp_ENTR","resp_LAM","resp_TT","pair","HREmbed","HRDelay","HRRadius","respDelay","respEmbed","respRadius","study","trial"
"8_2_7_2","Conversation",3.76292821595267,97.8812585285213,10276,192,19.475379525107,3.27776575016612,99.0252419776877,36.0199252801993,4.44595574788477,81.738965112963,61240,38,3.36982364467668,1.59036704401636,88.7021135016952,3.90861491203574,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_7_2","Conversation",2.77902465804654,95.5576158940397,12937,144,11.15343588158,2.88526683856682,96.9105960264901,13.4178433889602,3.45954849790154,76.9878395781265,50244,24,3.0102698829711,1.37503281321994,93.3451085988282,5.22042245502164,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_7_1","Conversation",1.59906183072206,93.3395483737311,12310,106,6.58805848903331,2.32881923789498,95.679395990148,7.50221099178775,4.55235354498195,80.9379762798146,63824,48,3.27832790172976,1.5272854328918,90.1568193598799,3.75855507176262,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_7_1","Conversation",3.52047211764071,97.0599152059471,15782,169,11.7642250665315,2.94120503108982,98.2821624051817,14.416149068323,3.58942002282569,75.984634404804,50409,26,3.07248705588288,1.40997149590065,91.2408257780918,4.61575498858334,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_2_7_2","Conversation",1.68732807085445,92.1467681769595,12274,123,6.88300472543588,2.34344722670791,96.1453720468576,8.07216117216117,4.17959145147762,81.3925661270887,60289,45,3.20426611819735,1.48559040490085,88.4097477943593,3.57297076401778,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_8_2","Conversation",4.92772603454714,97.8267121317941,11158,148,23.4748162753182,3.58661701627073,98.9452887197433,38.5909686817189,3.72464489603146,79.5542548614493,52435,28,3.20903976351673,1.4999507969705,88.2280354213256,3.8792641097599,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_8_1","Conversation",5.19464123067727,97.2581433744075,20202,150,13.5885060885061,3.09863733273262,98.0343945524244,15.5846803717263,4.11066709235177,77.5262174851777,59877,30,3.0223792107153,1.37772280136177,92.1480345453922,4.05014121634344,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_1_8_1","Conversation",7.87709938289089,98.2224589784746,19558,254,21.4949892627058,3.51445953900778,99.3670664264837,29.3612702795996,4.75979579089469,82.5564015479441,65809,40,3.39079761126898,1.59565958572896,89.9638911703553,4.07506032980292,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"10_2_8_2","Conversation",3.19867578554837,96.4045292919529,12207,151,13.7259768985009,3.10208180662583,97.92349915421,16.1688200646019,3.97834781936465,78.8657831602617,56051,35,3.17874792599597,1.48146630116025,92.1892013916554,4.07258506061791,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_1_8_2","Conversation",5.28918328146127,98.3451117119186,18692,100,15.1206398459234,3.04790109037737,99.43352436228,46.4353266168346,3.8040822450393,82.2444010332281,52293,31,3.39751018300729,1.60385098899486,88.3058207034469,3.90198003600065,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_8_1","Conversation",3.13692990655668,95.950060722688,13621,73,12.0067542764848,3.08016939810821,96.5502472909467,13.6321239231279,3.81179529289243,76.7550586713481,52865,34,3.14279769223494,1.4314060706696,90.3621916289384,3.85574326322222,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_1_8_1","Conversation",7.07710836410965,97.858474693074,28205,109,13.341747917036,2.97412974883132,99.3113832407116,30.6075979802837,4.44794564379208,83.2262406714571,61618,35,3.41161673536954,1.60707410659146,89.1984876378249,3.99897053603124,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"5_2_8_2","Conversation",2.79593805977332,96.3072426753731,10918,88,13.4007144165598,3.11780861200326,97.0293380024882,14.8355475040258,3.40298614697864,75.6211027452198,47797,39,3.05738853902965,1.38066010888544,89.4419001785298,3.65888354960943,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_8_2","Conversation",1.23950020989918,96.7438269313576,4679,102,13.9251976918145,2.96495726789046,98.2301147752751,32.5736090595766,4.24694854745523,82.7317546471176,58429,40,3.4148282530935,1.61326049382935,88.7478179383093,3.90865428514034,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_8_1","Conversation",7.87849809728832,97.7441290590843,17713,206,23.6225371196296,3.61961424118978,98.3304639520841,34.5823200788695,5.08316268068211,78.0109264628954,69437,41,3.24299724930512,1.51254332494063,89.508655601631,4.28493482370891,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_1_8_1","Conversation",2.14220471620729,97.4999570439355,8691,110,13.0581060867564,2.89579865488776,99.127991889895,25.8243061772605,4.83787719313384,83.2761859002359,66909,39,3.41931578711384,1.60408865126035,88.7099239975539,3.93780901599612,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"6_2_8_2","Conversation",7.90702450934111,98.3993315224855,12046,211,35.0951353146273,3.68654782140081,98.8075869404818,46.9538767835416,4.15169768937866,75.8973032125618,56951,30,3.14194658566136,1.46038721869611,87.7185466699468,4.05329073732899,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_1_8_2","Conversation",5.05285576070647,97.4886177381169,14377,280,18.616888085136,3.3591797961461,99.0096521580769,33.8266550522648,4.14743614239132,79.2624830163044,55667,40,3.35349488925216,1.57435041743986,89.0090013586957,3.930367287249,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_2_8_1","Conversation",4.5156390072735,97.5232311705249,14564,185,16.4297583081571,3.22798048264459,98.3253179002282,19.2846522781775,4.84039537998999,81.4756740434604,67610,36,3.31242419760391,1.54336817929384,94.6636785983243,5.55312973515163,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_1_8_1","Conversation",6.7182829087591,98.0815906114913,20369,266,17.5776424959497,3.34133534915938,99.3236394716224,27.7027047677262,4.68907524254278,80.3288292686591,64154,35,3.33413349128659,1.56015744206112,89.1906203291297,3.94110618808184,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"7_2_8_2","Conversation",3.76292821595267,97.8812585285213,10276,192,19.475379525107,3.27776575016612,98.9680183506879,22.8748586931947,4.44595574788477,81.738965112963,61240,38,3.36982364467668,1.59036704401636,94.1367755632308,5.33667901650387,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
"9_1_8_2","Conversation",3.02210649700997,97.5250901295917,8940,178,17.9131991051454,3.25512354786818,98.5554905972912,31.3818111305022,3.35103753700898,72.8316561128774,47238,33,2.93397264913841,1.31435877013071,87.9387267137865,3.73067148207598,"Surrogate",NA,NA,NA,NA,NA,NA,NA,NA
